,Prediction,Actual,isAccurate
0,high,high,True
1,high,high,True
2,high,high,True
3,high,high,True
4,high,high,True
5,low,mid,False
6,low,mid,False
7,low,mid,False
8,high,high,True
9,low,low,True
10,high,mid,False
11,low,low,True
12,low,mid,False
13,low,low,True
14,high,mid,False
15,high,high,True
16,high,high,True
17,high,high,True
18,mid,low,False
19,high,high,True
20,high,mid,False
21,mid,high,False
22,mid,low,False
23,high,high,True
24,high,high,True
25,high,mid,False
26,mid,high,False
27,mid,mid,True
28,low,low,True
29,high,high,True
30,low,mid,False
31,high,high,True
32,high,high,True
33,low,low,True
34,low,mid,False
35,mid,mid,True
36,mid,high,False
37,high,high,True
38,high,high,True
39,low,mid,False
40,mid,low,False
41,high,mid,False
42,high,mid,False
43,high,high,True
44,low,mid,False
45,mid,high,False
46,low,low,True
47,high,high,True
48,high,high,True
49,low,low,True
50,high,high,True
51,high,high,True
52,low,low,True
53,high,high,True
54,low,low,True
55,high,high,True
56,mid,high,False
57,low,low,True
58,mid,mid,True
59,low,low,True
60,high,high,True
61,high,high,True
62,high,high,True
63,high,high,True
64,low,mid,False
65,high,high,True
66,high,mid,False
67,high,high,True
68,high,high,True
69,low,low,True
70,high,mid,False
71,high,high,True
72,high,high,True
73,mid,mid,True
74,high,high,True
75,high,high,True
76,low,low,True
77,mid,low,False
78,high,high,True
79,low,low,True
80,high,high,True
81,high,mid,False
82,high,high,True
83,high,high,True
84,high,high,True
85,high,high,True
86,high,high,True
87,low,mid,False
88,low,mid,False
89,high,high,True
90,high,high,True
91,low,low,True
92,high,high,True
93,high,high,True
94,high,mid,False
95,mid,mid,True
96,mid,high,False
97,high,high,True
98,low,low,True
99,low,low,True
100,high,high,True
101,high,high,True
102,high,high,True
103,high,high,True
104,high,high,True
105,high,high,True
106,high,high,True
107,high,high,True
108,high,high,True
109,low,low,True
110,low,low,True
111,high,high,True
112,low,mid,False
113,mid,high,False
114,high,high,True
115,high,low,False
116,mid,mid,True
117,low,mid,False
118,high,high,True
119,high,high,True
120,low,mid,False
121,high,high,True
122,high,high,True
123,high,high,True
124,low,mid,False
125,high,high,True
126,low,low,True
127,low,low,True
128,low,low,True
129,mid,low,False
130,low,low,True
131,high,mid,False
132,high,high,True
133,high,high,True
134,high,high,True
135,low,mid,False
136,high,high,True
137,high,high,True
138,low,low,True
139,high,high,True
140,high,mid,False
141,high,high,True
142,low,mid,False
143,mid,mid,True
144,high,high,True
145,high,high,True
146,high,mid,False
147,low,low,True
148,high,high,True
149,high,high,True
150,high,high,True
151,high,high,True
152,mid,high,False
153,high,high,True
154,high,high,True
155,high,mid,False
156,high,mid,False
157,high,high,True
158,low,low,True
159,high,high,True
160,high,high,True
161,mid,low,False
162,high,mid,False
163,high,high,True
164,low,low,True
165,low,mid,False
166,low,low,True
167,low,low,True
